40
-347.88,1294.09,-1308.55
-78.19,1288.01,-1321.39
221.77,1290.00,-1326.68
431.73,1297.74,-1330.37
295.64,1295.10,-1558.96
26.38,1289.66,-1578.92
-242.88,1293.89,-1598.87
-458.98,847.61,-10636.53
-99.17,835.87,-10624.87
170.69,837.38,-10616.13
440.55,848.28,-10607.38
340.90,832.38,-10921.90
33.93,825.98,-10979.93
-273.26,832.99,-10979.61
3538.73,-417.14,-19701.41
3867.52,-430.07,-19673.20
4136.53,-430.43,-19650.12
4405.54,-422.51,-19627.04
7629.78,-418.94,-13384.84
7776.66,-429.74,-13158.29
7923.54,-430.73,-12931.73
8037.78,-425.52,-12755.52
1630.43,-420.72,-15498.61
1556.65,-430.05,-15758.34
1482.87,-430.45,-16018.06
1425.48,-424.75,-16220.07
2655.70,45.33,-3811.35
2385.83,35.60,-3819.67
2026.69,35.70,-3794.79
1760.73,45.29,-3841.28
1891.04,37.40,-3530.87
2248.49,29.67,-3488.04
2513.11,36.75,-3541.58
758.14,45.05,1922.47
490.21,31.37,2057.41
224.88,30.65,2197.41
-13.92,38.99,2323.41
7.73,33.35,2024.41
243.75,29.63,1893.28
458.28,35.24,1784.65
